Domain,Phylum,Genus,reads
Archaea,Euryarchaeota,Methanococcus,1293
Archaea,Euryarchaeota,Methanothermobacter,1103
Archaea,Euryarchaeota,Methanosarcina,245
Bacteria,Acidobacteria,Acidobacterium,9021
Bacteria,Proteobacteria,Thauera,1469
Bacteria,Proteobacteria,Escherichia,21131
Bacteria,Proteobacteria,Salmonella,2318
Bacteria,Proteobacteria,Proteus,732
Bacteria,Proteobacteria,Morganella,512
Bacteria,Proteobacteria,Pseudoalteromonas,603
Bacteria,Proteobacteria,Desulfobulbus,494
Bacteria,Firmicutes,Oenococcus,1395
Bacteria,Chloroflexi,Chloroflexus,498
Bacteria,Proteobacteria,Burkholderia,282
Bacteria,Firmicutes,Streptococcus,5493
Bacteria,Firmicutes,Staphylococcus,2660
Eukaryota,Basidiomycota,Malassezia,1845
Eukaryota,Ascomycota,Trichophyton,569
Viruses,Unknown,Alpharetrovirus,93
Viruses,Unknown,Deltapolyomavirus,157
Viruses,Unknown,Mastadenovirus,132
Viruses,Unknown,Porphyromonas,67
